,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min]
21622,L,299.1224641633827,309.1159277812973,1382,54.999173652167435,206
21623,L,299.7885542839761,310.26482459423283,1300,61.20720273269253,197
21624,L,296.27352539170363,306.6893347177407,1370,54.84228393433341,215
21625,L,296.8388784070971,308.1083310872351,1289,61.97222970921636,198
21626,L,295.9680755857978,306.4374026203147,1370,55.78403779289889,215
21627,L,300.6400048821548,311.3466574448187,1271,58.55998698092047,197
21628,L,298.99946662372906,309.89942559478516,1373,55.700410289439176,201
21629,L,298.2941241232112,309.31145199179286,1291,61.71732786858166,200
21630,L,299.0655088063265,309.05043419762757,1513,48.97565129644135,227
21631,L,298.2105120400415,309.31051204004154,1356,53.06965272472542,212
21632,L,298.6113155851546,309.5113155851546,1361,60.04658051381449,189
21633,L,298.36744092304707,308.7966404102432,1282,60.18873493336782,197
21634,L,296.92873985927014,307.8,1395,56.89882098510888,202
21635,L,299.53675727346723,309.8504244151616,1429,49.64231759882965,229
21636,L,301.9294345519551,311.47227324799144,1240,67.97647818398504,193
21637,L,302.61464870985117,312.243392793522,1365,58.992071352226404,204
21638,L,301.26032691996585,310.17493804006455,1269,56.90579488009109,195
21639,H,302.06136039338406,310.92272078676814,1385,50.56845172105525,232
21640,L,301.8682934241715,311.3713416950536,1231,66.46219688240728,182
21641,L,301.0922836803074,310.53076122676913,1379,56.45406626384905,205
21642,L,299.11686782827996,310.1264031327531,1337,59.71173808513946,197
21643,L,299.10341144698856,309.7702393668683,1367,55.955600930122074,215
21644,L,296.3838147379965,307.0092250960759,1372,56.30543326419683,214
21645,L,298.0,308.25735939435083,1363,55.137016379681306,216
21646,L,298.8224501631599,309.72245016315986,1363,58.42788208244089,195
21647,L,298.6617426433712,309.76174264337124,1354,53.28199653805705,212
21648,L,297.53293560621046,308.06646780310524,1313,61.11117739896492,195
21649,L,298.0594918402347,309.0376274620742,1337,57.23694766434496,206
21650,L,297.5197236617544,307.5717881406784,1374,54.38417501422222,215
21651,L,300.1580447322946,310.1648430111361,1392,53.53930064320607,222
21652,L,299.18088914312557,309.95426674293765,1373,55.84471131450048,201
21653,L,298.59917605403876,309.4631120343883,1360,60.928851215720364,187
21654,L,298.80537131029206,310.16107606891126,1279,60.44026675866174,198
21655,L,298.47012092127227,309.19367442420486,1335,55.56837212102427,206
21656,L,297.4586646172987,308.19173292345977,1362,54.47225785438455,214
21657,L,301.3238955525804,310.62955822103214,1378,55.93963867916241,206
21658,L,298.4090004520736,308.33162596065637,1410,52.72237675178513,217
21659,L,298.3899495425471,309.2437815359081,1336,55.81890767954048,206
21660,L,301.94766837335663,311.57105845944653,1363,60.11169504304495,205
21661,L,299.08781151969856,309.98781151969854,1367,56.226869118191416,202
21662,L,299.5575563672995,308.8232155183262,1318,63.51916412646262,189
21663,L,299.783222656553,308.90903053993804,1415,51.760646306708,226
21664,L,297.7846872698163,308.2021305771892,1404,56.376164961059395,214
21665,L,297.5157733563397,308.67943557417976,1288,61.96591555446001,204
21666,L,300.5931919423763,310.27377549017257,1489,50.1737754901726,222
21667,L,298.7377299544642,308.5377299544642,1462,50.64635350535741,222
21668,L,300.6939089506483,310.59543171298617,1363,59.492486651171106,206
21669,L,300.5,311.1626349703627,1279,65.1833681624875,205
21670,L,299.60732064943244,310.0520720667251,1301,61.18356356296945,196
21671,L,299.0531041856928,309.9243971508754,1287,61.842585930365196,214
21672,L,299.1049973554678,309.82562466943347,1285,61.464380619630916,214
21673,L,297.8183472094291,308.62745084092364,1373,56.60896368505456,202
21674,L,299.4631948743045,309.161239272642,1313,63.857657627539076,194
21675,L,297.80902785336616,308.6263889576056,1399,56.397569386035244,208
21676,L,299.192362658562,308.5867432683066,1414,51.97550448779565,223
21677,L,302.84476187782644,312.15249297977005,1367,58.21882342959209,205
21678,L,296.993290626737,307.8,1386,56.44696561284091,202
21679,L,301.90014149455544,312.3469236387534,1369,60.01874115659029,209
21680,L,299.82432689226357,309.0787332494581,1383,53.18965721475024,217
21681,L,298.63128510315465,309.7141063789433,1351,53.78100427791753,210
21682,L,299.1433790124238,309.85115911681817,1196,64.34817345651665,201
21683,L,300.53077428497653,310.97690286009384,1297,61.7103237996873,200
21684,L,301.34385390815254,310.63754156326104,1378,55.85581358575926,206
21685,L,296.83459672114896,307.8637096016414,1363,52.866250117455884,213
21686,L,301.3088315697339,310.60294385657795,1379,54.46904394410609,210
21687,L,299.94667669372353,310.50464334862636,1210,65.0869499823542,188
21688,L,301.9866535878402,311.06476937837704,1349,60.14617272635447,205
21689,L,298.18990049769013,309.17989145202563,1337,56.62047037455571,206
21690,L,297.7618734847273,308.8618734847273,1358,52.8585286986952,212
21691,L,298.7609397893829,309.16464757898143,1511,49.14697136847211,226
21692,L,301.15043860839,311.50682956543574,1374,57.34780695805015,212
21693,H,300.93873122305723,310.810166253028,1408,54.7306343884714,235
21694,L,299.35898699997244,310.17292693747765,1289,61.72787987501032,211
21695,L,301.2211191474344,310.53142039566706,1387,51.669755982098124,227
21696,L,299.6751300715048,308.90566153974464,1383,53.14150769038307,219
21697,L,297.89082049689006,307.404792881027,1327,60.483021786933506,187
21698,L,298.805972044751,308.6223888179004,1408,54.68477255586809,222
21699,L,300.1197958867958,309.09261593825227,1416,51.638256041165164,228
21700,L,300.1856600187699,310.6243952852847,1242,62.30615049548987,204
21701,L,298.43539467509663,308.1738516409618,1412,52.25076557269213,218
21702,L,297.7129499100254,308.28898154579883,1337,59.22120299621294,207
21703,L,299.07684210711176,309.97684210711174,1368,56.16105264267034,202
21704,L,301.2080122596378,310.226483142998,1269,58.03033602734433,196
21705,L,300.59937443671214,311.423403841766,1271,58.66833483543432,197
21706,L,301.03122777866787,311.22654953755625,1443,50.57029213044556,220
21707,L,298.32922683355605,309.0054860719058,1358,55.15386583221977,214
21708,L,298.11720149099284,308.7528493884805,1373,56.77585481654416,203
21709,L,297.11808606159485,307.2148444514837,1374,54.34283498024177,218
21710,L,301.41830810571525,311.38953822530556,1343,59.37484671489929,198
21711,L,301.61224160141535,311.36952304033025,1227,67.21224160141533,194
21712,L,298.9015615700822,308.5710325808641,1328,54.729572601070686,203
21713,L,296.8200318034537,308.11621622184344,1288,61.99904610459745,199
21714,L,299.8669360745201,309.92086700931503,1279,59.84526084164475,207
21715,L,298.37420546617835,308.2855136654459,1414,51.975351085469775,219
21716,L,298.28565566607165,308.6895304537341,1403,55.99225042467516,217
21717,L,297.8857931283296,308.7515200288624,1372,57.65721381549667,213
21718,L,300.50079139191945,310.43557343244214,1352,57.00751168924593,209
21719,L,302.68713568766583,312.61745289263513,1367,59.969554019520885,207
21720,L,302.2656657076529,312.47257258700563,1368,59.995895893271694,208
21721,L,299.2938411981221,309.9627645582294,1302,61.265538319946344,201
21722,L,299.9040712922291,309.92550891152865,1279,59.76634850401315,207
21723,L,300.88584685360786,311.5569837756706,1374,57.727471115055046,213
21724,L,297.86123222726036,308.18612322272605,1364,52.84449289090416,217
21725,L,297.3701533330033,308.28562181782183,1339,60.49563878943872,206
21726,L,302.35504952698426,312.5032982749008,1368,59.99030940456348,208
21727,L,300.93278191784344,310.79363415518463,1270,57.779248219084195,196
21728,L,298.6063520682558,309.56261966623094,1372,57.762619666230925,205
21729,L,297.72514578821625,308.17506626737105,1403,56.42488071873214,214
21730,L,298.6244014639236,309.21584945102865,1509,49.223774176542946,225
21731,L,295.77151506157594,306.34502151653703,1370,55.220216649367615,214
21732,L,297.5017579197523,308.0508789598762,1313,61.11637368004128,195
21733,L,300.5444921500104,311.1911015699979,1266,67.22414866993559,205
21734,L,299.315723400453,308.6143561482397,1383,53.587694730080266,217
21735,L,298.18329874505724,309.1726895400625,1337,56.65167865972935,206
21736,L,298.46907552035003,308.96610637596973,1374,56.83983191279091,203
21737,L,297.1042025218876,307.919088596443,1316,60.8824304094854,201
21738,L,303.6541469026849,312.88748475349973,1364,59.91666892540744,205
21739,L,297.11495600585084,307.99541455077355,1399,56.93389763184251,203
21740,L,298.689501049736,309.7775022494343,1354,53.35249475131997,212
21741,L,302.2455799488359,311.6322200046513,1234,66.7500997906922,188
21742,L,298.90637954658837,309.8051833816031,1287,61.897607670029345,215
21743,L,298.9839985431206,309.6059993482382,1339,56.855998389764885,206
21744,L,301.4619737515935,311.5076428201661,1365,58.10917138419928,204
21745,L,298.9574683622888,309.0909493641417,1512,49.03642404621254,227
21746,L,297.9795983893118,308.29591967786234,1362,56.71227307404071,215
21747,L,300.0671823716135,310.6134669467754,1333,56.501547114840605,196
21748,H,301.1371585324001,310.15877889149584,1415,52.137158532400136,235
21749,L,299.013766508356,309.913766508356,1372,55.78259905013616,201
21750,H,301.5244248283117,311.18111705816443,1411,53.37480827610388,238
21751,L,300.56145800839465,311.0373511440564,1233,64.65059542377448,187
21752,L,299.91500564766335,309.3362542357475,1376,53.914450918881506,212
21753,L,300.1355193534211,309.32411677296494,1315,64.34757773990354,190
21754,L,299.16868072011846,308.96868072011847,1511,49.01831727955239,227
21755,L,301.2957242754352,311.85907504262144,1370,58.50392666223695,210
21756,L,299.9986308161536,309.5216136960683,1274,58.303804390222524,196
21757,L,298.0,308.2808977749614,1362,56.05501322349346,216
21758,L,300.34120182190264,310.1007283769107,1377,57.18021851307321,203
21759,L,299.9687616764918,310.4289281434221,1332,56.206285029475396,197
21760,L,300.6949781182434,309.87367567317875,1381,52.50827799441821,216
21761,L,299.62937093517127,308.82511141918434,1415,51.816592387210456,225
21762,L,297.6913674062895,308.3530939250316,1387,56.6765469625158,199
21763,L,301.3249927576304,311.3024983101138,1227,66.9249927576304,196
21764,L,298.2173659960629,308.1550893359581,1410,53.37424205118298,218
21765,L,298.3251745907027,308.6216082462357,1383,55.52538477013619,204
21766,L,297.4289538234258,307.5319038603589,1321,61.09276154414356,192
21767,L,296.9550851797268,307.8,1391,56.71440374191255,202
21768,L,298.0,308.2440120770985,1363,54.61647100684125,217
21769,L,300.07190557927703,311.4627918453681,1273,59.45518454945118,198
21770,L,300.17488299255217,311.5467433666212,1259,60.88837755585883,201
21771,L,299.25725266240363,308.8564840255783,1386,53.98472603836744,217
21772,L,298.7257881026035,308.66213245885393,1331,55.116542952607155,207
21773,L,299.5030008711956,309.94258755875177,1332,59.473171632721225,187
21774,L,298.9177773267058,309.99499949254397,1321,55.09611184410314,225
21775,L,296.9583858267308,307.8,1391,56.69129921288439,202
21776,L,300.734317005401,311.16851232313144,1270,58.30848798559727,196
21777,L,299.18978234451856,309.26130593288866,1391,54.59195889933298,217
21778,L,299.43548943968926,309.8503571683309,1302,61.16115079648121,195
21779,L,298.93717158201457,309.6929289550364,1430,49.51237432868631,226
21780,L,300.54017646057895,311.5352222411286,1271,58.82619610512273,197
21781,L,297.868464093161,308.24021095143684,1404,56.307620287413755,216
21782,L,298.2759249646203,308.49639340801804,1333,56.939672511801945,207
21783,L,300.6521846978452,309.83460341977167,1381,52.541768497338566,216
21784,L,296.87478551557297,308.1605406554639,1288,61.99643878497272,199
21785,L,298.8923099498321,308.8457502354335,1314,63.24170284060831,196
21786,L,300.4554169721611,311.4120811948723,1285,60.3637564153831,200
21787,L,299.88231825809066,310.1646954774272,1375,56.40585460647253,202
21788,M,298.6355472703179,308.94960960896367,1343,61.00703116932288,207
21789,L,300.07881357753143,311.14331721053327,1336,58.91469732147393,192
21790,L,298.54510910469264,309.29555373153875,1398,55.82877932819205,213
21791,H,299.15171290646316,308.9138589995092,1411,52.58390430215438,223
21792,L,299.18452701305057,308.9584881494698,1329,53.85358103915171,206
21793,L,300.72813450526536,310.85047397789594,1395,57.68735468105516,191
21794,L,299.9981196436042,311.3478845990547,1250,62.21410267296869,203
21795,L,301.4217241176031,310.40739461869896,1379,53.2070881263698,213
21796,L,298.8183877922814,309.6162634060779,1360,60.839926831645016,188
21797,L,297.64194632806124,308.1372483309369,1403,56.49295300431353,212
21798,L,300.36893712444737,309.52641217452106,1314,64.68214321170788,191
21799,L,296.00609369719206,306.6801338531315,1369,54.700792527646165,214
21800,L,300.51466640648295,310.44047049640574,1352,57.03607789570011,209
21801,L,295.80136825938644,306.3876689419806,1370,55.15411313993004,214
21802,L,302.5722752347835,311.59353088811616,1227,68.17227523478346,187
21803,L,299.6669182617799,309.87794550785327,1362,58.803624982388854,207
21804,L,301.67047776246574,310.7352388812328,1379,52.02905272801352,215
21805,L,299.16632338711435,308.5725400293351,1413,51.984973313776614,223
21806,L,297.5075360174612,308.67276725223047,1288,61.96630780869233,204
21807,L,300.98339515942865,310.8538746889671,1207,67.24661765812459,193
21808,L,300.87399665794067,310.0371273833371,1381,52.368176528568185,216
21809,L,300.8348148346847,310.89567252716927,1398,57.77395714220014,192
21810,L,299.2796700222502,309.86688500256736,1200,63.87115492212445,201
21811,L,301.9803004369856,311.8188058566479,1369,56.933428409268394,208
21812,L,300.5,311.157198064756,1281,64.84628001487421,205
21813,L,296.86435000132326,306.9542905414346,1376,54.916567566852315,216
21814,L,298.5110448599571,308.54847032740884,1408,53.117798832333705,217
21815,L,300.4108629417705,311.779481109989,1271,59.17103215527852,197
21816,L,300.7605995656472,310.93408725567656,1368,56.248106263573526,205
21817,L,302.1817278468077,311.44518354042305,1372,54.977854417012814,209
21818,M,301.9180654206089,310.8923244326052,1350,60.337129505998185,207
21819,L,298.66947627721606,308.4694762772161,1454,50.90420073051704,222
21820,L,303.8413517678134,312.79423451187563,1360,59.48568358845541,196
21821,L,298.0293606503591,307.93074178848747,1317,61.0,187
21822,L,298.2206906928482,309.21348075583444,1337,56.47491672471746,206
21823,L,297.8112159601618,308.2141890728008,1404,56.35445966895852,215
21824,L,299.5273191867825,309.8490638467185,1341,57.45651068012799,206
21825,L,299.3847052363886,310.07117630909715,1365,57.24901745462854,203
21826,L,299.3828473921518,309.8787900837098,1204,63.510034127468735,200
21827,L,298.78231584113917,308.9920421285126,1300,63.6354105689398,195
21828,L,300.0321483536857,309.23452857319427,1315,64.19941264028289,190
21829,L,299.3393766162962,309.4935615856341,1375,56.998068475690225,203
21830,L,297.9237281062328,308.6355927916562,1373,56.74067783749687,203
21831,L,299.63982561850406,310.131703159472,1353,55.23493509692013,210
21832,L,301.67910441174706,311.45074623160775,1368,56.21940298713291,207
21833,L,298.96054807860776,310.1184476516317,1194,65.6973514944162,204
21834,L,298.96717485214333,309.93434970428666,1297,59.51529274891178,221
21835,L,296.62382056253057,307.0385021823197,1367,56.111910281265274,215
21836,L,296.1544032213628,306.74310773678087,1372,56.09896289922651,214
21837,L,297.6761804465286,307.3773872209196,1325,61.03095488836785,188
21838,L,297.90340719645025,308.9932343971264,1287,61.947456800169036,207
21839,L,299.39359112669825,310.231892235861,1281,63.62756894344387,213
21840,L,298.57996071754695,309.59162574744477,1336,56.36829568764916,204
21841,L,301.7982868040313,310.79914340201566,1379,52.444432113101755,214
21842,L,302.4650713716048,311.9915728525824,1364,60.5578454089693,200
21843,H,299.182402538034,309.3099688345707,1406,55.608798730983,224
21844,L,301.9119734980861,310.77799337452154,1382,50.630099382177036,227
21845,L,298.4554124592024,309.494265574003,1343,55.012112785583085,208
21846,L,298.7314544742136,309.6180271979242,1374,55.793990934025246,201
21847,L,298.1582509576499,307.713366489596,1327,58.96072531799293,191
21848,L,298.01352129107926,309.1135212910793,1357,52.976951195802,212
21849,L,297.21474450240834,308.12147445024084,1362,52.585897800963345,214
21850,L,300.720371551749,311.19485373558524,1270,58.345675862002636,196
21851,L,300.9977458089184,311.6158958507725,1373,58.11127095540797,212
21852,L,300.9515303653923,310.757832148654,1362,60.68739643347648,204
21853,H,302.2053336691475,311.21066733829497,1390,51.1983348025202,234
21854,L,297.5293467623854,308.0520698868502,1319,59.2842688599387,201
21855,L,298.38208277088256,309.0733320477316,1358,53.11833301193289,214
21856,L,297.9543437787344,307.72444539151974,1320,61.0,187
21857,L,302.33046845631947,311.8197148835008,1368,56.31291251459553,207
21858,L,301.3960339605332,310.7262354290963,1355,60.3,206
21859,L,298.5640297792455,309.66402977924554,1354,53.23601401376259,212
21860,L,298.0269477257716,308.28203484948557,1405,55.84967956496887,218
21861,L,300.57328660312896,310.9594171851586,1441,50.15051271953489,222
21862,L,299.7583452345195,309.29904532760736,1311,63.57726327247454,190
21863,L,298.2206061199864,308.38124100951734,1323,56.78256832766818,204
21864,L,297.51821243077444,308.0591062153872,1313,61.1136312615376,195
21865,L,301.2764045029548,310.451910118932,1379,52.00494381479531,215
21866,L,298.3384174427275,309.0251802344161,1358,55.10791278636241,214
21867,M,299.6732234293637,309.56374447860304,1345,60.79526052461964,207
21868,L,297.3533324786607,308.54864795567084,1290,61.895315477010136,199
21869,L,300.93228603555497,312.014223324722,1371,60.07923212277782,211
21870,L,302.40228401504083,311.5382137547003,1228,67.73042453572194,185
21871,L,298.09298191482463,307.7546271092107,1327,60.73732655912273,186
21872,L,298.11456229330514,309.1365039324125,1348,56.42233443570592,210
21873,L,303.1123107165898,312.4694968385121,1364,59.97859306096117,205
21874,L,301.8725687412813,311.82514301521877,1369,57.18057759353111,209
21875,L,297.8264278558486,308.2652855711697,1362,56.053639780148806,215
21876,H,302.03373175644117,310.8674635128824,1384,50.44757643443024,231
21877,L,300.4854617463152,311.2017677757937,1292,60.99469667261885,201
21878,L,300.18332573555216,310.69148451205456,1366,57.12978141446547,203
21879,L,300.7017301118234,310.29307955270656,1306,63.98973482431149,195
21880,L,299.96042863078003,309.522192883851,1307,64.60735362039351,193
21881,L,298.16543567702445,309.16706048513225,1328,57.997193736495355,219
21882,L,303.70588315974226,312.7039221064948,1359,56.91178003510324,194
21883,L,297.7032447430605,307.6445703581851,1375,53.85825044715302,220
21884,L,299.1953683700365,309.2277897797812,1391,54.54168466967175,217
21885,L,298.65945557132045,309.7493194641506,1352,53.58381100075691,211
21886,L,301.93424292626867,310.78356073156715,1382,50.54658902649262,228
21887,L,296.85370082520876,307.0206865435127,1374,54.561779004124,218
21888,L,296.9791961014467,307.8,1388,56.545627289873295,202
21889,L,302.31620802166873,311.25436237843377,1352,60.249127524313245,206
21890,L,300.84417824998206,310.40144077585586,1388,52.33265204313505,225
21891,L,303.25551154833755,312.81283209474105,1366,59.9340305282289,206
21892,L,299.9566087006406,310.9509441000915,1230,64.99622359963396,200
21893,L,299.8945337978897,310.3892353279575,1299,61.22102614755084,198
21894,L,300.6975489815072,311.0319035725459,1441,50.26441989971495,221
21895,L,297.6525520249365,308.5936931181126,1338,59.16066315484558,206
21896,L,302.43343730043216,312.06410529041636,1452,51.9797854492145,213
21897,L,298.4906513264781,308.7411993832569,1308,61.0379110425841,190
21898,L,300.4026608989457,311.0210764045506,1295,61.31841550560486,201
21899,L,300.33097817565715,311.10808407935724,1334,57.292934526971536,193
21900,L,297.64036643538714,308.80409079721625,1284,63.249193349899805,201
21901,L,298.237278948321,308.8084548892592,1359,55.613605258395125,214
21902,L,297.6566046509985,307.98522093008194,1363,56.62830232549922,215
21903,L,299.29895514065527,309.7289445926231,1400,54.84576782246033,218
21904,H,301.21038006824386,310.25746878763306,1415,52.210380068243865,235
21905,L,300.4658855404227,311.4046867574639,1270,64.66849985508279,204
21906,L,299.7936901038614,310.1006689447401,1332,55.68107031158419,199
21907,L,303.8415268928172,312.79435126187815,1360,59.48901096352798,196
21908,L,301.12784320503727,311.18495010153475,1362,60.40418052735146,195
21909,L,302.862832699323,312.2770423680492,1364,60.00710483436308,205
21910,L,298.22820957672093,308.5247597822567,1365,53.53196498168877,217
21911,L,298.6354529267411,309.5022709929369,1368,56.43272773521684,203
21912,L,296.2668025510491,306.5896831234267,1373,55.04780413741247,216
21913,L,302.3866822955298,311.86934583642386,1368,56.4138163289735,207
21914,L,298.3656986820075,308.72041735516456,1365,53.9127040424824,217
21915,L,300.48850351016006,310.8217673835641,1365,58.0568819924474,202
21916,L,297.9817085386863,309.05662119798416,1287,61.94372816482446,208
21917,L,301.4350319308609,311.3035486208137,1375,55.92484034569582,212
21918,L,296.4765864610831,306.75743984581237,1372,55.25758341363941,214
21919,L,299.41218607329205,309.85609303664603,1361,60.59593797556933,196
21920,L,300.31912781745376,309.6342548464876,1312,64.78116422409485,193
21921,L,301.02608841844585,311.1158336427179,1362,60.42337954368946,195
21922,L,299.4309385814537,309.68180764948085,1402,54.47809966595046,220
21923,L,297.7159092063241,308.17086782105645,1403,56.43243792209845,213
21924,L,301.6250220186337,311.1250220186337,1374,56.7711352150023,205
21925,L,299.0936127755175,310.0840319387937,1434,48.82794410711107,228
21926,L,301.7253398306584,310.7626699153292,1379,52.20735444963975,214
21927,L,298.396608071737,308.4586432286948,1406,55.45437682513444,220
21928,L,300.64585050491075,309.82882002622284,1381,52.54672569180898,216
21929,L,303.0571549540027,312.74464701543843,1366,59.946427815374825,206
21930,L,297.7526619248237,308.55671284211786,1373,56.65949082705868,202
21931,L,298.16873354762674,307.61956907460984,1325,61.528518084931655,186
21932,L,297.3452200079641,308.4452200079641,1360,52.66245647433605,212
21933,L,297.48234230953824,308.04117115476913,1313,61.11960961507696,195
21934,L,301.6367029768008,311.24468156197275,1368,55.69095809847502,209
21935,L,300.30058346409726,310.5426779676001,1359,59.480309191769486,189
21936,L,300.94537880648454,311.48554543221854,1374,57.23335590617834,213
21937,L,302.1884343329781,311.7407371728515,1359,57.99181139130572,191
21938,L,301.76203706031487,311.26203706031487,1373,56.655199410502824,206
21939,H,300.42179528222954,310.9216565267913,1426,50.58620984085068,235
21940,L,300.5426333542839,310.3193480075422,1387,53.32260796983124,216
21941,L,298.300609252601,308.5187577448585,1314,62.60328893043796,197
21942,L,300.88257676602717,311.0832252522896,1235,64.46709899084162,179
21943,L,300.28344914982785,310.285607956372,1362,60.274813923651045,206
21944,L,299.12543649072654,309.647381055641,1396,55.171071583461476,217
21945,L,301.43359871717706,310.5480683939443,1380,51.9302270909049,216
21946,L,300.53644077523785,310.9542368990486,1297,61.78587700317137,200
21947,L,299.64357868687483,310.6832117546963,1337,59.275320516589396,194
21948,L,298.3337824062986,308.9190496829648,1399,57.41473272333384,197
21949,L,298.75671317822315,308.9580114593245,1362,57.95152005381781,212
21950,L,298.78683658336445,309.3170914584111,1425,50.170089947780646,224
21951,L,299.88919875168904,310.3436066992605,1361,60.637887027983204,191
21952,L,299.68608801158604,310.1058264034758,1375,56.24887040926882,202
21953,L,301.58929959941344,310.73571983976535,1378,54.82494168246348,208
21954,H,302.2236671447261,311.2473342894522,1390,51.278543758176795,235
21955,L,300.8396174251887,310.9696115301992,1270,58.0276868661635,196
21956,L,298.9927739125983,308.7604956520099,1329,54.03454782789128,207
21957,L,299.02042725170634,308.77068372431285,1329,53.92247903255857,207
21958,L,299.40552298073766,309.85276149036883,1361,60.59815900642078,196
21959,L,300.8774069298456,309.94371701431294,1380,53.30788760558414,214
21960,L,300.57556663063656,311.7840393972149,1268,59.91822712533154,197
21961,L,301.18201954330857,310.0852524429136,1269,57.050708470469274,196
21962,L,300.9366483812473,310.8322992528834,1207,67.219049045351,193
21963,L,298.89508189993916,309.78044489279193,1367,56.358548028588814,203
21964,L,297.7983615027935,308.6322410018623,1362,54.38703627933005,211
21965,L,299.33504453780455,309.9484491817713,1398,55.72163989383776,213
21966,L,299.1895040235892,310.0571302278229,1366,56.36855627338745,203
21967,L,299.4745635192128,309.885963703307,1430,49.52237250133893,229
21968,L,298.9595377644542,308.73311322116865,1328,54.10833951911824,206
21969,L,299.70587321875615,310.2573894773803,1332,59.29128607973584,187
21970,L,300.5,311.15609707560196,1281,64.77801868732122,205
21971,L,301.4967736621128,310.6057498654073,1380,51.88078582965089,216
21972,L,301.8881593386517,310.97988618667733,1377,53.6592033067416,212
21973,L,301.1410888668075,310.62970377730846,1251,60.82574870754404,185
21974,L,297.14498372167975,307.88988990744144,1384,56.30431074369137,202
21975,L,299.13101789286713,309.7588031784617,1459,48.83101789286712,228
21976,L,300.0835486335492,310.20993706319837,1370,56.44091862678813,205
21977,L,300.1507856190691,310.26269640476727,1362,59.80261873023036,205
21978,L,296.9713395795857,307.12850468468923,1373,55.064320476724355,214
21979,L,297.06449068045583,308.1128981360912,1362,52.77730992596014,213
21980,L,301.0582497173406,311.14940744278687,1363,56.51285323014571,199
21981,L,299.1015090732324,309.96608843775607,1293,61.56457936452359,200
21982,L,297.95861344753314,308.95976190720427,1347,57.254061613156445,209
21983,L,300.40736341280416,311.25130639900783,1334,57.52209023841255,192
21984,L,303.7359167604852,312.6359167604852,1361,62.19421940687763,200
21985,L,298.4606272926041,308.6071887669654,1314,62.77593997359918,196
21986,L,303.7591792649362,312.98596787232185,1365,59.902551295941485,205
21987,H,301.67234972626665,311.6990282082198,1418,52.276148278738674,240
21988,L,297.69840093969555,308.14920046984776,1312,61.08359984338407,193
21989,L,300.9524459865811,310.577886768451,1269,61.44853492947766,200
21990,L,299.59128715717355,309.8192644816151,1428,49.74748237454901,229
21991,L,298.3294794484804,309.09952677134584,1398,55.99540224435603,211
21992,L,300.740932541208,311.89170985051715,1371,59.77668417017,211
21993,L,298.3535899466999,309.3669874333749,1339,55.724870373100615,206
21994,L,298.1497086745164,308.8840110359726,1309,61.2328488192719,200
21995,L,297.9956404200434,308.2991280840087,1362,56.781253806186704,215
21996,L,297.91851179432496,308.7561862416224,1372,56.95618624162239,203
21997,L,300.0412404935524,310.0749917335238,1362,59.906235533666674,207
21998,L,296.90948842301475,307.8,1398,57.0335810388967,202
21999,L,300.33398473389553,310.3001954201686,1377,56.767187787116406,203
22000,L,296.9373566286039,307.8,1394,56.83850359977264,202
22001,L,298.23570997830313,308.1428600144646,1410,53.13577028205923,218
22002,L,297.87124451205307,308.7957080137749,1316,58.544778629933596,212
22003,L,298.0,308.2442914098042,1363,54.62736498236366,217
22004,L,297.0683511780822,307.87176873698627,1384,56.376077087671234,201
22005,L,297.9507474241191,309.28271263034463,1283,61.10497422568516,198
22006,L,298.0914762049305,309.07251949628784,1337,57.08574884941952,206
22007,L,298.2483732232099,309.2724926092652,1287,61.93102984651381,210
22008,L,299.02751291464205,309.927512914642,1371,55.865077487852076,201
22009,L,298.7547076897912,308.6018830759165,1408,54.78114954319256,221
22010,L,302.8048863315743,312.65792967647866,1367,59.962194604276604,207
22011,L,299.25946227532285,309.0989917662303,1329,54.07838682596852,205
22012,L,298.8820262527735,308.93623359201655,1331,54.28116796008274,206
22013,L,300.8355005797408,311.73178530018515,1373,58.922497101296116,212
22014,L,303.9277419517974,312.84922407423596,1362,62.45703575512275,200
22015,L,301.42108096928536,311.4815410442247,1366,58.077849253069616,203
22016,H,302.7922397160616,312.3844794321231,1410,53.76604875776935,245
22017,H,302.169798345396,311.7978073078228,1411,53.58993278179865,242
22018,L,299.4864966903795,310.0966241725949,1365,57.58832230126506,203
22019,L,298.1571706971859,309.0150292320452,1378,55.99499025598494,201
22020,L,297.12765919786904,308.22765919786906,1361,52.560074916644254,212
22021,L,300.494335729871,311.1396498909031,1294,61.18105032729075,201
22022,L,301.2206422445835,311.8634916326715,1370,58.67617367419084,210
22023,L,300.7989437012271,310.9863594833023,1231,64.53112367311277,179
22024,L,302.0,310.8780521802757,1379,52.48546104771966,216
22025,L,298.26901900023284,308.66684409122666,1403,56.004349818012464,217
22026,L,298.0,308.2393280420218,1363,54.433793638849295,217
22027,L,298.8014270536415,309.35356763410374,1426,50.10625664031854,224
22028,H,301.96740744099736,311.2778100291704,1413,52.96740744099737,240
22029,L,297.9054293646514,308.8796850872463,1331,58.88668901566628,215
22030,L,297.5247804760423,307.9338815305805,1405,54.957895510712135,209
22031,L,298.9728280369658,309.871469438814,1373,55.70951018706198,201
22032,L,301.2196871702277,310.3677094325743,1260,58.83459168756471,190
22033,H,301.97470163705236,311.8869766933028,1416,52.6847319419626,242
22034,L,303.6086942226255,312.8469553781004,1365,59.42811241580959,205
22035,L,295.90189566781623,306.53127952545174,1369,54.93151673554987,214
